what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613465757499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613465758803
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613465788957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465792078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465803314
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1613465803330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465806144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465830076
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613465830191
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613465830274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1613465862083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465878561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465881869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465926585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465927934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613465959535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613465965571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465970837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613465976655
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613465976675
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613465980557
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1613465987016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466001187
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1613466007835
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1613466007870
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1613466007876
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1613466008872
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1613466008882
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1613466008950
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1613466008987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466009185
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1613466009198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466029447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466033153
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613466033186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613466073445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613466091693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466093406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466096925
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613466101894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466103806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466109155
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613466109181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466155277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466157715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613466224421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613466251046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466252889
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1613466268081
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613466276312
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613466278308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466286321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466346711
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1613466346734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466350721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466357367
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613466357461
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613466357548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466365551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466369409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466380370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466391487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613466403018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466417822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466419561
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466441823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466445947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466473273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466475234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466486483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466494583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613466504132
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613466543482
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613466546869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613466548960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466551123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613466566410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613466583762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466593355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1613466598995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466600344
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613466612740
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613466615770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613466627944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466642331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466643773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466651608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466654785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613466656092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466659197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466675541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466676766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613466679784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466681977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466725371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466727403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613466747528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466766361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466767795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466797918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466854231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613466856800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466861224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466862328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613466863637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466866344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1613466892879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613466894520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466905919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466907492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613466929416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467036653
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1613467036679
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467041549
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1613467043460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467046021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467051686
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467051863
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467051938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467053839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467055923
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1613467055947
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467057324
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467057395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1613467058553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1613467059220
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467060084
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1613467060909
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1613467061631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1613467065649
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467068307
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467069442
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467070042
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467070456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467072411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467074106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467084877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467086215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467093502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467106713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467112718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467114190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613467126679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467129871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467132683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467135587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467137103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613467163948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1613467179180
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613467187426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467190186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1613467192044
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467192068
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613467196787
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1613467259946
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1613467263638
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1613467330199
